Date,CBA.AX,WBC.AX,BHP.AX,ANZ.AX,NAB.AX,TLS.AX,WES.AX,CSL.AX,WOW.AX,WPL.AX,MQG.AX,RIO.AX,SCG.AX,WFD.AX,TCL.AX,QBE.AX,AMP.AX,BXB.AX,SUN.AX,AMC.AX,ORG.AX,IAG.AX,RHC.AX,SYD.AX,S32.AX,OSH.AX,GMG.AX,AZJ.AX,RMD.AX,AGL.AX,NCM.AX,^AXJO
2015-06-03,,,,,,,,,,,,,,-0.01693116701103725,,,,,,,,,,,,,,,,,,
2015-06-04,-0.012627362726454927,-0.015056587984128567,-0.015422666336621704,-0.01315796451875717,-0.02060607455443364,-0.014778429506513535,-0.015906977987529713,-0.01551900961026198,-0.009502917059840854,-0.013737161724267533,-0.008499841531983465,-0.013217189568754617,-0.020618505169232804,-0.0236814356441597,-0.023880616676666966,0.0014337933852848206,-0.0220821088846187,-0.005454880052742639,0.0022710964351506657,0.0021261949752657827,-0.024539850254726825,-0.00907437426779012,-0.016677755918558024,-0.018315009434330287,0.0,-0.023160774216984703,-0.026856241973477468,0.0,0.006570234038679734,-0.01835439319510168,-0.03260855748718394,-0.014202358976610263
2015-06-05,-0.003103789252451361,-0.006687749734678894,-0.006763698213887004,-0.010476294760064064,-0.014542309755555594,0.0016668445696315093,0.00892642715707681,0.009880113569374904,0.005534943983546592,0.0025583391883092776,-0.0023954417199831823,0.00493477508837592,0.013157892535022642,0.0,0.010193393968652043,-0.012168959092350717,-0.00967738734639434,-0.0018281624869489477,-0.0060422219846875125,0.0,-0.00786162006076463,-0.005494665011534616,0.01712858128722039,0.0,-0.00465131099283711,0.0041841110217624156,-0.006493621120068127,0.0019306228518820578,0.009138479110981867,0.0025789061624947873,0.023970033154191217,-0.0010536861895786842
2015-06-09,-0.00585399112043794,0.00512975090183998,-0.01075279343886626,-0.00032077052814694085,-0.007849098009933608,0.001663772601640634,-0.012912387670643177,-0.006155950317391579,-0.005137579136525572,0.009356216204735812,-0.005434183803517567,-0.011399448635519227,0.00779215695569091,-0.0055124210123278505,0.005045745698106563,-0.015217115248815083,-0.013029340605231754,-0.0027470581240964798,-0.0007599396719019103,-0.004243367723399727,-0.004754308430685472,-0.016574613356139967,-0.014363649653561184,-0.001865715623179276,-0.023364539385399286,0.0027778088225804964,-0.0032677063319287436,0.003853613886113605,-0.019404967802245543,-0.0012860958666085498,-0.016825410544766606,-0.004946839194780339
2015-06-10,0.0011275473387672985,0.0003188677327365941,0.002174124869065208,-0.00224662350720628,0.007278405862399584,-0.009966749053853974,0.0065406943925370165,-0.013715340499380613,0.011803644150657266,0.017415935028642027,-0.009148431755102937,-0.005321937457250181,-0.0025772209591463646,0.00997764030953463,-0.013052380042710365,0.0007356293479598985,0.011551151354806333,0.0,-0.0022813643780332793,0.001420687676175314,0.007165682349894675,0.003745698354805427,-0.006700172889480549,-0.01308408376998682,0.004784777774746285,0.029085873173720023,0.01967191541646618,0.011515952762157555,0.001319441720687653,0.0,0.008184665066313324,0.0013342886022249534
2015-06-11,0.018771116480435168,0.019451477771757597,0.020607290001883882,0.023158652560571813,0.0213635107059722,0.01342254632529194,-0.003128812143405435,-0.0016822752146639086,-0.012759497815271748,0.017393612390692592,0.019363894993664532,0.02514695455893734,-0.007752133502420766,0.009879304078415974,-0.0030518288205260147,0.03088230547407944,0.03752033555222889,0.007346223648406092,0.017530485069121582,0.014184363085728569,0.00948606558022691,0.02985041349514317,0.0327150456929437,-0.007575822324693338,0.014285720720057071,0.044414506607728166,0.0,0.007590169462404983,-0.003952721438885698,0.013522245692024093,-0.002952066528410513,0.014255484296008536
2015-06-12,0.00012265861231886,-0.00938357838626147,-0.011689712974435218,-0.0031434175200686365,-0.007689748901781979,-0.0016553116016522207,-0.002655717353327036,0.003145631572741614,-0.005539285271034089,-0.0032564633561259493,0.0010063969547173812,-0.005915007624883395,0.0,0.0043477838503220845,0.00816335851983041,-0.0014264679504378819,-0.004716965767772585,-0.0045581134875714024,0.0007490312674371946,0.007692061198820044,0.013312394810532924,0.005434941115395109,0.014696201244475127,0.007633653527506112,-0.014084513296623524,-0.0038659222227507284,0.0016079972233491446,-0.007532992770716174,0.0039684074480841325,0.007623745609343313,0.0022205679603637396,-0.002051647600965989
2015-06-15,0.0057728117038393645,0.0015787300817473593,0.0007167273854813416,0.00441489521432592,0.008369268956584852,-0.006633710962609896,-0.004841557558262988,-0.003023594103709226,-0.006312655034496184,-0.028859101010512367,-0.004524233121791954,0.0026251104925529845,0.005208465723243183,-0.015151541321354323,0.01012110950750289,0.0021428418940268035,-0.004739320982609985,-0.003662917544876798,0.002245597436147273,0.015267288461832784,-0.005409443988452556,0.0036036337570113375,-0.011908545249849967,0.0037879681414101363,-0.009523856708989364,-0.027166882016195437,0.0016049588045647933,0.009487821882413261,-0.009222822777789963,-0.006935703742940391,-0.03323479390780948,-0.0011721638556865255
2015-06-16,0.005983556894625153,0.01828493639590767,-0.006088760123790116,0.010046999441168936,0.00799271841721061,0.006678010957104519,0.005108345220640409,-0.009322947910800794,0.0029894424344838466,-0.0072889738023789175,0.0013886241247804687,-0.02408792505089863,-0.010362791606410626,-0.008791007074171575,-0.003005581225170917,-0.004989245457861946,-0.019047456770179938,0.0,0.008215100261835806,-0.017771754871649836,-0.01165513659796269,0.0430879970207243,-0.016123862585836646,-0.00943407043713873,0.0,-0.0305852047039058,-0.0016023870393775397,-0.009398649173123497,-0.005319028521007851,0.024127041853739817,0.009931331006911792,-0.0005416335859369514
2015-06-17,0.022821079041351888,0.01857607091070901,0.015135094822902317,0.02144861305760437,0.0176882383495367,0.014925379049382403,0.00193606413689551,-0.011337855306540412,-0.001490351510414878,0.007059892135148571,0.01840636115845884,0.0021464164947668785,0.00523556854034557,0.004434310211334225,0.0040197338378877845,0.0021488144764563177,0.009708501175470508,0.0018382441229123359,0.011110996875052237,0.012526094422786072,0.02437103223144721,-0.010327214797030249,0.015063760377816982,-0.013333304298972615,0.0,0.030178451318720878,0.01926160746269745,-0.003794927510620827,-0.006684684183614453,0.006199564631058863,0.007564314286986784,0.010766302929846372
